playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AJ Hammons,647,1476800760,1476815820,175,1476800760,1476806340,361,1476806400,1476811800,111,1476811860,1476815820,0,0,0,59,99,229,36,10,220,36,6,25,71,13,9934,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,92,23,0,0,
AJ Hammons,337,1476976800,1476988440,149,1476976800,1476982440,188,1476982500,1476988440,0,0,0,0,0,0,47,63,73,18,4,61,13,1,15,64,15,6414,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,153,35,0,0,
AJ Hammons,484,1477238810,1477249200,0,0,0,466,1477238810,1477245300,18,1477245360,1477249200,0,0,0,58,89,205,33,7,216,28,9,47,88,4,7257,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,231,53,0,0,
AJ Hammons,317,1477408108,1477417920,53,1477408108,1477410600,262,1477410636,1477415220,1,1477415285,1477417920,0,0,0,20,52,83,21,5,90,13,3,7,87,6,6337,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,288,65,0,0,
AJ Hammons,386,1477582080,1477594147,19,1477582080,1477585920,123,1477585980,1477590840,243,1477590900,1477594147,0,0,0,82,77,101,26,7,118,21,10,15,62,9,10011,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,351,79,0,0,
AJ Hammons,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,49,1.44,0,0,1,0,0,0,367,82,562,0,
AJ Hammons,1070,1478008320,1478026740,647,1478008320,1478018820,324,1478018880,1478023320,97,1478023393,1478026740,0,0,0,159,265,201,43,17,187,28,12,51,315,27,16084,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,522,120,0,0,
AJ Hammons,351,1478187060,1478198820,261,1478187060,1478192400,28,1478192460,1478195640,61,1478195700,1478198820,0,0,0,45,79,23,5,3,33,1,4,4,192,0,7244,0,0,0,0,0,0,0,0,0,0,360.7719625,0,502,134,0,0,
AJ Hammons,0,1478286000,1478296800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Por,Dal,L,10,10,0.57,0,0,0,0,0,0,452,135,570,0,
AJ Hammons,529,1478361493,1478372760,341,1478361493,1478366100,120,1478366160,1478369640,68,1478369760,1478372760,0,0,0,29,73,96,9,4,94,16,1,16,127,2,8943,0,0,0,0,0,0,0,0,0,0,339.48218636363634,0,452,154,0,0,
AJ Hammons,0,1478718000,1478728800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,GS,L,21,171,6.15,9,3,0,0,0,1,431,160,870,0,
AJ Hammons,343,1478875800,1478888280,192,1478875800,1478883600,151,1478883660,1478888280,0,0,0,0,0,0,47,58,133,14,3,132,18,4,14,30,9,7910,0,0,0,0,0,0,0,0,0,0,471.2142246153847,0,422,173,0,0,
AJ Hammons,251,1478963220,1478979060,69,1478963220,1478969460,164,1478969520,1478973780,17,1478973840,1478979060,0,0,0,27,41,83,11,3,57,3,0,8,31,0,9282,0,0,0,0,0,0,0,0,0,0,522.2070846153846,0,449,182,0,0,
