playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrew Bogut,573,1476800760,1476815820,81,1476800760,1476806340,387,1476806400,1476811800,104,1476811860,1476815820,0,0,0,78,132,145,29,20,157,33,14,34,39,8,8796,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,81,20,0,0,
Andrew Bogut,263,1476982500,1476988440,0,0,0,263,1476982500,1476988440,0,0,0,0,0,0,14,76,36,8,1,61,6,3,30,15,0,5898,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,131,30,0,0,
Andrew Bogut,513,1477238810,1477249200,0,0,0,449,1477238810,1477245300,64,1477245360,1477249200,0,0,0,35,130,149,8,3,164,22,8,25,50,8,7746,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,211,49,0,0,
Andrew Bogut,418,1477408108,1477417920,28,1477408108,1477410600,312,1477410636,1477415220,77,1477415285,1477417920,0,0,0,38,103,135,23,5,162,20,8,29,73,5,7555,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,282,64,0,0,
Andrew Bogut,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,707,19.62,6,6,3,0,1,3,393,90,717,0,
Andrew Bogut,155,1477585980,1477594147,0,0,0,63,1477585980,1477590840,92,1477590900,1477594147,0,0,0,14,25,28,2,0,29,5,0,1,17,2,4313,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,431,97,0,0,
Andrew Bogut,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,870,26.69,4,12,0,1,0,3,561,128,562,0,
Andrew Bogut,0,1477854000,1477864800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,1,894,28.1,6,14,3,0,0,3,625,161,808,0,
Andrew Bogut,337,1478018880,1478026740,0,0,0,302,1478018880,1478023320,34,1478023393,1478026740,0,0,0,50,83,118,11,1,129,14,6,15,70,3,5480,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,645,174,0,0,
Andrew Bogut,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,554,17.28,2,9,0,1,1,3,654,194,536,0,
Andrew Bogut,17,1478361493,1478369640,1,1478361493,1478366100,16,1478366160,1478369640,0,0,0,0,0,0,16,21,4,3,2,6,3,1,0,0,0,806,0,0,0,0,0,0,0,0,0,0,339.48218636363634,0,598,196,0,0,
Andrew Bogut,0,1478458800,1478469600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mil,Dal,W,11,992,34.29,2,16,3,1,0,5,631,231,797,0,
Andrew Bogut,0,1478631600,1478642400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,LAL,W,12,976,29.51,2,9,2,0,2,1,753,267,945,0,
