playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deron Williams,554,1476800760,1476815820,69,1476800760,1476806340,413,1476806400,1476811800,71,1476811860,1476815820,0,0,0,58,92,219,24,12,194,30,17,20,45,11,8716,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,79,19,0,0,
Deron Williams,295,1476982500,1476988440,0,0,0,295,1476982500,1476988440,0,0,0,0,0,0,25,46,90,15,5,95,16,2,43,62,0,5088,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,132,31,0,0,
Deron Williams,518,1477238810,1477249200,0,0,0,454,1477238810,1477245300,63,1477245360,1477249200,0,0,0,74,47,202,30,15,179,17,2,59,65,4,7800,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,214,49,0,0,
Deron Williams,375,1477408108,1477417920,36,1477408108,1477410600,317,1477410636,1477415220,21,1477415285,1477417920,0,0,0,32,54,143,13,3,144,14,6,20,47,0,7554,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,279,63,0,0,
Deron Williams,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,1093,40.02,25,3,7,0,1,4,444,103,717,0,
Deron Williams,93,1477585980,1477590840,0,0,0,93,1477585980,1477590840,0,0,0,0,0,0,43,34,26,9,11,34,11,10,0,0,0,2252,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,481,108,0,0,
Deron Williams,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,871,34.03,14,0,4,1,0,3,611,139,562,0,
Deron Williams,0,1477854000,1477864800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,1,803,31.5,12,1,3,1,1,1,665,169,808,0,
Deron Williams,358,1478018880,1478026740,0,0,0,353,1478018880,1478023320,5,1478023393,1478026740,0,0,0,85,42,148,17,6,132,19,8,30,56,2,4629,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,682,183,0,0,
Deron Williams,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,833,34.17,12,2,9,0,0,3,729,213,536,0,
Deron Williams,0,1478286000,1478296800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Por,Dal,L,10,992,36.93,12,5,6,1,0,1,824,249,570,0,
Deron Williams,0,1478875800,1478883600,0,1478875800,1478883600,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,189,0,0,0,0,0,0,0,0,0,0,471.2142246153847,0,682,251,0,0,
Deron Williams,0,1479322800,1479333600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Bos,L,7,259,9.59,0,0,0,0,0,1,685,260,725,0,
Deron Williams,266,1479837660,1479843540,0,0,0,266,1479837660,1479843540,0,0,0,0,0,0,27,34,113,21,7,104,30,11,4,13,3,2623,0,0,0,0,0,0,0,0,0,0,524.432689,0,599,270,0,0,
Deron Williams,0,1480100400,1480111200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Cle,L,38,402,14.9,4,2,5,0,0,2,529,285,598,0,
Deron Williams,351,1480180560,1480192860,0,1480180560,1480186200,138,1480186260,1480189200,213,1480189260,1480192860,0,0,0,54,50,108,36,9,128,26,12,32,44,16,5169,0,0,0,0,0,0,0,0,0,0,322.5908992857143,0,518,298,0,0,
Deron Williams,0,1480273200,1480284000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,Dal,W,10,553,20.02,9,2,4,0,0,4,477,318,873,0,
Deron Williams,367,1480433241,1480445640,1,1480433241,1480439100,334,1480439160,1480444200,31,1480444260,1480445640,0,0,0,51,80,179,30,15,181,37,12,28,26,5,6363,0,0,0,0,0,0,0,0,0,0,477.90601583333336,0,382,332,0,0,
Deron Williams,0,1480532400,1480543200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,Dal,L,7,665,25.72,9,8,5,0,0,4,463,356,603,0,
Deron Williams,0,1480618800,1480629600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Cha,L,10,706,29.7,14,3,9,0,0,2,539,382,841,0,
Deron Williams,0,1480791600,1480802400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chi,Dal,W,25,810,31.19,9,2,15,1,0,2,627,412,604,0,
Deron Williams,0,1480964400,1480975200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cha,Dal,L,8,927,37.3,15,1,13,0,0,2,715,446,758,0,
Deron Williams,272,1481039730,1481052600,107,1481039730,1481049240,165,1481049300,1481052600,0,0,0,0,0,0,28,30,111,8,7,86,9,0,61,15,1,4314,0,0,0,0,0,0,0,0,0,0,391.40247181818177,0,716,457,0,0,
Deron Williams,0,1481137200,1481148000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sac,Dal,L,31,790,31.8,20,2,6,0,0,2,750,486,705,0,
Deron Williams,127,1481150158,1481158817,0,0,0,0,0,0,0,0,0,127,1481150158,1481158817,14,34,33,9,4,45,8,2,23,59,3,4333,0,0,0,0,0,0,0,0,0,0,195.24629142857142,0,721,491,0,0,
Deron Williams,350,1481212860,1481224080,1,1481212860,1481218620,302,1481218680,1481222520,46,1481222580,1481224080,0,0,0,58,58,129,27,11,119,20,15,45,44,2,5497,0,0,0,0,0,0,0,0,0,0,472.6425866666666,0,671,504,0,0,
Deron Williams,0,1481310000,1481320800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ind,Dal,W,8,776,33.39,16,1,6,1,0,4,674,532,807,0,
Deron Williams,0,1481396400,1481407200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,22,754,31.75,9,3,6,0,0,2,667,560,595,0,
Deron Williams,0,1481569200,1481580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Den,Dal,W,20,817,31.99,17,2,8,2,0,2,650,570,594,0,
Deron Williams,313,1481648976,1481657280,0,0,0,280,1481648976,1481655060,33,1481655070,1481657280,0,0,0,27,41,79,6,5,94,17,2,26,16,0,5091,0,0,0,0,0,0,0,0,0,0,377.0724575,0,653,571,0,0,
