playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Devin Harris,856,1476800760,1476815820,292,1476800760,1476806340,454,1476806400,1476811800,109,1476811860,1476815820,0,0,0,97,173,249,52,16,192,43,14,115,166,10,13145,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,122,30,0,0,
Devin Harris,454,1476976800,1476988440,154,1476976800,1476982440,299,1476982500,1476988440,0,0,0,0,0,0,45,39,91,14,9,78,18,4,80,58,0,6948,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,204,47,0,0,
Devin Harris,266,1479837660,1479843540,0,0,0,266,1479837660,1479843540,0,0,0,0,0,0,28,38,91,23,6,76,15,9,7,17,1,3023,0,0,0,0,0,0,0,0,0,0,524.432689,0,254,57,0,0,
Devin Harris,602,1480180560,1480192860,296,1480180560,1480186200,89,1480186260,1480189200,215,1480189260,1480192860,0,0,0,89,111,154,46,12,141,61,42,54,142,18,10578,0,0,0,0,0,0,0,0,0,0,322.5908992857143,0,347,79,0,0,
Devin Harris,494,1480433241,1480445640,110,1480433241,1480439100,354,1480439160,1480444200,29,1480444260,1480445640,0,0,0,65,88,153,34,5,127,29,10,54,23,2,7570,0,0,0,0,0,0,0,0,0,0,477.90601583333336,0,431,98,0,0,
Devin Harris,0,1480532400,1480543200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,Dal,L,7,265,10.64,0,1,0,0,0,1,481,108,603,0,
Devin Harris,0,1480618800,1480629600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Cha,L,10,358,11.42,3,0,1,0,0,2,539,121,841,0,
Devin Harris,0,1480791600,1480802400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chi,Dal,W,25,459,16.9,3,3,5,2,0,1,491,138,604,0,
Devin Harris,0,1480964400,1480975200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cha,Dal,L,8,443,18.51,7,3,2,2,0,2,482,154,758,0,
Devin Harris,141,1481039730,1481053860,1,1481039730,1481049240,135,1481049300,1481052600,4,1481052660,1481053860,0,0,0,17,33,44,21,27,43,10,24,2,2,0,5014,0,0,0,0,0,0,0,0,0,0,391.40247181818177,0,463,160,0,0,
Devin Harris,242,1481122800,1481131020,0,0,0,0,0,0,0,0,0,10,1481129580,1481131020,18,25,41,7,2,38,17,2,35,20,0,6510,0,0,0,0,0,0,0,0,0,0,321.09810272727276,0,409,169,0,0,
Devin Harris,0,1481137200,1481148000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sac,Dal,L,31,424,17.12,3,4,1,0,0,1,391,184,705,0,
Devin Harris,147,1481150158,1481158817,0,0,0,0,0,0,0,0,0,147,1481150158,1481158817,15,33,25,7,14,13,2,10,10,11,0,4285,0,0,0,0,0,0,0,0,0,0,195.24629142857142,0,372,190,0,0,
Devin Harris,442,1481212860,1481224080,40,1481212860,1481218620,302,1481218680,1481222520,99,1481222580,1481224080,0,0,0,32,47,67,16,6,55,15,6,154,23,3,5637,0,0,0,0,0,0,0,0,0,0,472.6425866666666,0,381,206,0,0,
Devin Harris,0,1481310000,1481320800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ind,Dal,W,8,435,16.79,5,0,2,1,0,1,379,222,807,0,
Devin Harris,0,1481396400,1481407200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,22,112,4.4,0,0,1,0,0,0,331,227,595,0,
Devin Harris,0,1481569200,1481580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Den,Dal,W,20,379,15.86,0,1,1,0,0,1,358,240,594,0,
Devin Harris,371,1481648976,1481657280,0,0,0,280,1481648976,1481655060,90,1481655070,1481657280,0,0,0,11,38,44,8,3,36,11,3,221,13,0,5430,0,0,0,0,0,0,0,0,0,0,377.0724575,0,381,254,0,0,
