playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dirk Nowitzki,718,1476800760,1476815820,96,1476800760,1476806340,415,1476806400,1476811800,206,1476811860,1476815820,0,0,0,109,169,152,21,12,230,71,13,6,331,1,10627,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,102,25,0,0,
Dirk Nowitzki,367,1476982500,1476988440,0,0,0,367,1476982500,1476988440,0,0,0,0,0,0,72,159,92,27,8,166,51,12,7,154,1,5839,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,169,39,0,0,
Dirk Nowitzki,623,1477238810,1477249200,0,0,0,442,1477238810,1477245300,180,1477245360,1477249200,0,0,0,66,163,132,9,3,200,48,3,1,197,0,9266,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,268,62,0,0,
Dirk Nowitzki,522,1477408108,1477417920,49,1477408108,1477410600,266,1477410636,1477415220,206,1477415285,1477417920,0,0,0,77,165,125,16,14,211,67,13,4,232,1,8314,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,356,81,0,0,
Dirk Nowitzki,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,1027,38.45,22,8,2,2,2,1,516,119,717,0,
Dirk Nowitzki,44,1477585980,1477590840,0,0,0,44,1477585980,1477590840,0,0,0,0,0,0,16,22,8,13,20,10,12,16,6,2,0,2305,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,545,122,0,0,
Dirk Nowitzki,464,1478018880,1478026740,0,0,0,277,1478018880,1478023320,187,1478023393,1478026740,0,0,0,49,167,90,9,7,151,39,8,3,295,1,7787,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,615,138,0,0,
Dirk Nowitzki,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,726,28.82,9,5,0,1,0,3,626,165,536,0,
Dirk Nowitzki,0,1478286000,1478296800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Por,Dal,L,10,432,16.1,5,7,1,0,1,0,637,181,570,0,
Dirk Nowitzki,435,1478963220,1478979060,120,1478963220,1478969460,278,1478969520,1478973780,36,1478973840,1478979060,0,0,0,33,90,108,6,1,118,27,7,7,104,0,7936,0,0,0,0,0,0,0,0,0,0,522.2070846153846,0,612,197,0,0,
Dirk Nowitzki,313,1479837660,1479845580,0,0,0,289,1479837660,1479843540,24,1479843600,1479845580,0,0,0,15,61,64,9,6,61,11,8,0,60,1,4103,0,0,0,0,0,0,0,0,0,0,524.432689,0,579,209,0,0,
Dirk Nowitzki,0,1479927600,1479938400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,Dal,L,20,646,20.03,10,6,1,0,0,2,519,233,669,0,
Dirk Nowitzki,0,1480100400,1480111200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Cle,L,38,803,27.21,15,6,3,0,0,3,619,262,598,0,
Dirk Nowitzki,6,1480180560,1480189200,1,1480180560,1480186200,5,1480186260,1480189200,0,0,0,0,0,0,2,5,0,0,0,1,1,0,0,0,0,2815,0,0,0,0,0,0,0,0,0,0,322.5908992857143,0,568,263,0,0,
