playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dorian Finney-Smith,333,1477408108,1477417920,37,1477408108,1477410600,270,1477410636,1477415220,25,1477415285,1477417920,0,0,0,18,43,103,7,3,133,17,4,6,113,7,8319,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,47,11,0,0,
Dorian Finney-Smith,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,29,0.45,0,1,0,0,0,0,58,13,717,0,
Dorian Finney-Smith,620,1477582080,1477594147,159,1477582080,1477585920,119,1477585980,1477590840,341,1477590900,1477594147,0,0,0,83,104,141,40,11,162,24,11,40,194,19,11408,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,148,35,0,0,
Dorian Finney-Smith,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,52,1.44,0,0,0,0,0,0,168,38,562,0,
Dorian Finney-Smith,1105,1478008320,1478026740,706,1478008320,1478018820,315,1478018880,1478023320,82,1478023393,1478026740,0,0,0,122,270,260,44,13,269,61,19,55,542,36,16021,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,329,77,0,0,
Dorian Finney-Smith,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,38,1.85,0,0,0,0,0,0,358,80,536,0,
Dorian Finney-Smith,324,1478187060,1478198820,152,1478187060,1478192400,23,1478192460,1478195640,148,1478195700,1478198820,0,0,0,124,70,71,16,2,52,27,4,4,221,31,7901,0,0,0,0,0,0,0,0,0,0,360.7719625,0,408,92,0,0,
Dorian Finney-Smith,0,1478286000,1478296800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Por,Dal,L,10,9,0.57,0,0,0,0,0,0,369,92,570,0,
Dorian Finney-Smith,511,1478361493,1478372760,260,1478361493,1478366100,190,1478366160,1478369640,60,1478369760,1478372760,0,0,0,35,83,111,29,10,155,26,8,10,175,6,7949,0,0,0,0,0,0,0,0,0,0,339.48218636363634,0,432,111,0,0,
Dorian Finney-Smith,0,1478458800,1478469600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mil,Dal,W,11,1042,31.78,5,3,0,3,1,3,501,149,797,0,
Dorian Finney-Smith,0,1478631600,1478642400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,LAL,W,12,731,19.67,5,3,1,0,0,1,608,176,945,0,
