playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dwight Powell,793,1476800760,1476815820,213,1476800760,1476806340,495,1476806400,1476811800,85,1476811860,1476815820,0,0,0,90,150,234,35,12,188,51,11,24,89,60,9539,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,113,28,0,0,
Dwight Powell,463,1476976800,1476988440,179,1476976800,1476982440,284,1476982500,1476988440,0,0,0,0,0,0,45,98,102,23,3,82,14,2,6,108,40,7972,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,195,45,0,0,
Dwight Powell,676,1477238810,1477249200,0,0,0,526,1477238810,1477245300,150,1477245360,1477249200,0,0,0,26,101,145,20,5,132,20,1,12,247,47,8163,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,303,70,0,0,
Dwight Powell,416,1477408108,1477417920,42,1477408108,1477410600,347,1477410636,1477415220,26,1477415285,1477417920,0,0,0,57,74,116,20,2,125,14,7,8,59,27,7249,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,378,86,0,0,
Dwight Powell,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,698,16.54,0,7,1,0,1,2,489,111,717,0,
Dwight Powell,431,1477582080,1477594147,83,1477582080,1477585920,158,1477585980,1477590840,189,1477590900,1477594147,0,0,0,49,50,54,14,1,44,8,1,12,28,17,11651,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,566,128,0,0,
Dwight Powell,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,747,19.85,2,4,0,3,1,2,684,155,562,0,
Dwight Powell,0,1477854000,1477864800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,1,446,12.27,7,2,1,1,0,0,651,172,808,0,
Dwight Powell,1137,1478008320,1478026740,647,1478008320,1478018820,371,1478018880,1478023320,117,1478023393,1478026740,0,0,0,126,238,232,35,11,203,37,15,48,443,127,14405,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,743,213,0,0,
Dwight Powell,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,593,15.94,11,1,0,0,0,3,744,236,536,0,
Dwight Powell,288,1478187060,1478198820,253,1478187060,1478192400,13,1478192460,1478195640,21,1478195700,1478198820,0,0,0,22,71,27,1,0,24,1,0,0,201,5,10079,0,0,0,0,0,0,0,0,0,0,360.7719625,0,726,247,0,0,
