playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Harrison Barnes,669,1476800760,1476815820,89,1476800760,1476806340,431,1476806400,1476811800,147,1476811860,1476815820,0,0,0,83,118,179,47,17,162,36,22,14,130,20,9033,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,95,23,0,0,
Harrison Barnes,413,1476982500,1476988440,0,0,0,413,1476982500,1476988440,0,0,0,0,0,0,60,166,113,28,8,118,32,6,9,139,54,5584,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,168,39,0,0,
Harrison Barnes,768,1477238810,1477249200,0,0,0,561,1477238810,1477245300,206,1477245360,1477249200,0,0,0,95,235,195,55,21,224,40,14,23,169,55,9010,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,288,67,0,0,
Harrison Barnes,580,1477408108,1477417920,39,1477408108,1477410600,368,1477410636,1477415220,172,1477415285,1477417920,0,0,0,58,193,228,49,14,226,46,8,11,108,48,7194,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,388,89,0,0,
Harrison Barnes,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,1429,34.69,19,9,0,0,0,3,606,141,717,0,
Harrison Barnes,197,1477585980,1477594147,0,0,0,71,1477585980,1477590840,125,1477590900,1477594147,0,0,0,33,61,37,6,2,45,8,4,5,72,6,4270,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,666,149,0,0,
Harrison Barnes,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,1235,38.84,31,5,1,1,0,2,851,194,562,0,
Harrison Barnes,0,1477854000,1477864800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,1,1263,38.61,10,5,0,0,0,2,962,241,808,0,
Harrison Barnes,568,1478018880,1478026740,0,0,0,421,1478018880,1478023320,147,1478023393,1478026740,0,0,0,73,235,215,65,14,258,39,7,20,176,52,6891,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,1000,262,0,0,
Harrison Barnes,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,1224,35.69,14,2,1,0,1,1,1070,307,536,0,
Harrison Barnes,0,1478286000,1478296800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Por,Dal,L,10,1346,35.28,17,10,0,0,0,3,1190,357,570,0,
Harrison Barnes,256,1478361493,1478372760,14,1478361493,1478366100,171,1478366160,1478369640,70,1478369760,1478372760,0,0,0,19,63,35,12,4,48,6,1,6,73,3,6695,0,0,0,0,0,0,0,0,0,0,339.48218636363634,0,1039,368,0,0,
Harrison Barnes,0,1478458800,1478469600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mil,Dal,W,11,1528,48.49,34,8,2,2,0,0,1208,423,797,0,
