playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JJ Barea,463,1476800760,1476811800,46,1476800760,1476806340,416,1476806400,1476811800,0,0,0,0,0,0,35,56,144,18,4,135,19,5,15,25,6,6620,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,66,16,0,0,
JJ Barea,411,1477408108,1477417920,39,1477408108,1477410600,340,1477410636,1477415220,31,1477415285,1477417920,0,0,0,23,49,112,15,5,99,17,5,4,101,2,7010,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,134,31,0,0,
JJ Barea,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,1018,39.16,22,2,6,0,1,1,289,68,717,0,
JJ Barea,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,776,29.13,10,5,5,1,0,3,422,97,562,0,
JJ Barea,0,1477854000,1477864800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,1,770,31.57,18,3,5,2,0,0,551,126,808,0,
JJ Barea,5,1478018880,1478023320,0,0,0,5,1478018880,1478023320,0,0,0,0,0,0,0,7,3,4,2,6,1,1,1,0,1,143,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,570,127,0,0,
JJ Barea,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,629,26.8,9,5,4,1,0,0,663,149,536,0,
JJ Barea,0,1478286000,1478296800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Por,Dal,L,10,751,30,23,0,6,0,0,1,717,177,570,0,
JJ Barea,0,1478458800,1478469600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mil,Dal,W,11,1043,46.1,21,6,5,1,0,2,815,215,797,0,
JJ Barea,0,1478631600,1478642400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,LAL,W,12,791,34.4,18,7,8,0,0,1,797,245,945,0,
JJ Barea,2,1478875800,1478888280,1,1478875800,1478883600,0,1478883660,1478888280,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,0,471.2142246153847,0,684,246,0,0,
JJ Barea,425,1478963220,1478979060,8,1478963220,1478969460,366,1478969520,1478973780,49,1478973840,1478979060,0,0,0,31,57,135,22,5,132,20,1,4,34,3,6250,0,0,0,0,0,0,0,0,0,0,522.2070846153846,0,618,261,0,0,
JJ Barea,0,1479150000,1479160800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,NY,L,16,729,33.06,17,1,4,0,0,0,712,288,625,0,
JJ Barea,0,1479322800,1479333600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Bos,L,7,617,28.21,9,2,6,1,0,0,724,311,725,0,
