playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jonathan Gibson,930,1476800760,1476815820,244,1476800760,1476806340,459,1476806400,1476811800,225,1476811860,1476815820,0,0,0,74,127,174,35,8,187,33,5,20,136,12,10654,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,132,33,0,0,
Jonathan Gibson,599,1476976800,1476988440,183,1476976800,1476982440,415,1476982500,1476988440,0,0,0,0,0,0,43,61,91,20,5,126,21,4,5,138,11,8320,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,237,55,0,0,
Jonathan Gibson,0,1479495600,1479506400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mem,Dal,L,16,516,19.77,11,4,3,1,0,3,326,75,663,0,
Jonathan Gibson,0,1479582000,1479592800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Orl,L,8,874,31.79,26,6,3,2,0,5,463,106,777,0,
Jonathan Gibson,0,1479754800,1479765600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,SA,L,5,445,15.52,7,1,2,1,0,1,546,123,851,0,
Jonathan Gibson,798,1479832980,1479845580,211,1479832980,1479837600,472,1479837660,1479843540,114,1479843600,1479845580,0,0,0,50,173,167,21,6,162,41,6,12,195,17,8984,0,0,0,0,0,0,0,0,0,0,524.432689,0,672,153,0,0,
Jonathan Gibson,0,1479927600,1479938400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,Dal,L,20,727,25.89,11,0,2,0,0,1,794,180,669,0,
Jonathan Gibson,0,1480100400,1480111200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Cle,L,38,375,14.24,8,1,2,0,0,0,732,194,598,0,
Jonathan Gibson,717,1480180560,1480192860,172,1480180560,1480186200,234,1480186260,1480189200,310,1480189260,1480192860,0,0,0,53,140,132,29,10,136,31,12,10,187,21,10581,0,0,0,0,0,0,0,0,0,0,322.5908992857143,0,740,220,0,0,
Jonathan Gibson,0,1480273200,1480284000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,Dal,W,10,101,3.44,0,0,0,0,0,0,682,225,873,0,
Jonathan Gibson,583,1480433241,1480445640,209,1480433241,1480439100,333,1480439160,1480444200,40,1480444260,1480445640,0,0,0,55,100,186,37,7,198,34,14,28,36,21,9531,0,0,0,0,0,0,0,0,0,0,477.90601583333336,0,632,246,0,0,
Jonathan Gibson,0,1480532400,1480543200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SA,Dal,L,7,108,4.39,3,1,1,0,0,0,577,250,603,0,
Jonathan Gibson,0,1480618800,1480629600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Cha,L,10,732,26.91,11,2,4,2,0,2,560,276,841,0,
Jonathan Gibson,0,1480791600,1480802400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chi,Dal,W,25,427,16.82,4,2,3,1,0,1,514,293,604,0,
Jonathan Gibson,0,1480964400,1480975200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cha,Dal,L,8,565,18.07,13,2,2,0,0,2,535,313,758,0,
Jonathan Gibson,418,1481039730,1481053860,158,1481039730,1481049240,231,1481049300,1481052600,28,1481052660,1481053860,0,0,0,35,74,93,20,3,124,20,5,4,76,3,7504,0,0,0,0,0,0,0,0,0,0,391.40247181818177,0,495,329,0,0,
Jonathan Gibson,532,1481119187,1481131020,0,0,0,0,0,0,0,0,0,95,1481129580,1481131020,25,109,109,9,4,95,15,0,5,196,4,8858,0,0,0,0,0,0,0,0,0,0,321.09810272727276,0,551,349,0,0,
Jonathan Gibson,0,1481137200,1481148000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sac,Dal,L,31,838,27.75,7,2,0,1,0,2,595,379,705,0,
Jonathan Gibson,546,1481212860,1481224080,10,1481212860,1481218620,412,1481218680,1481222520,123,1481222580,1481224080,0,0,0,76,115,169,30,11,138,29,9,13,52,29,5998,0,0,0,0,0,0,0,0,0,0,472.6425866666666,0,664,400,0,0,
Jonathan Gibson,0,1481396400,1481407200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,22,363,14.15,0,0,2,0,0,2,621,414,595,0,
Jonathan Gibson,0,1481569200,1481580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Den,Dal,W,20,80,3.49,0,0,1,0,0,0,566,417,594,0,
Jonathan Gibson,575,1481648976,1481657280,0,0,0,354,1481648976,1481655060,221,1481655070,1481657280,0,0,0,72,105,149,37,13,144,33,5,14,48,22,6308,0,0,0,0,0,0,0,0,0,0,377.0724575,0,559,438,0,0,
