playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Anderson,645,1476800760,1476815820,179,1476800760,1476806340,381,1476806400,1476811800,83,1476811860,1476815820,0,0,0,70,114,157,33,17,129,36,15,10,75,28,9914,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,92,23,0,0,
Justin Anderson,346,1476976800,1476988440,167,1476976800,1476982440,178,1476982500,1476988440,0,0,0,0,0,0,48,81,80,18,11,80,19,7,23,80,11,7068,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,154,36,0,0,
Justin Anderson,539,1477238810,1477249200,0,0,0,460,1477238810,1477245300,78,1477245360,1477249200,0,0,0,41,113,184,29,8,171,40,14,28,170,16,7731,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,240,55,0,0,
Justin Anderson,320,1477408108,1477415220,29,1477408108,1477410600,290,1477410636,1477415220,0,0,0,0,0,0,39,69,115,30,8,110,25,7,14,52,12,5673,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,298,68,0,0,
Justin Anderson,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,730,19.34,7,5,2,0,1,2,411,94,717,0,
Justin Anderson,160,1477585980,1477594147,0,0,0,63,1477585980,1477590840,96,1477590900,1477594147,0,0,0,19,41,19,2,0,23,3,2,3,153,3,4605,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,450,101,0,0,
Justin Anderson,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,691,20.15,9,3,0,2,1,0,554,126,562,0,
Justin Anderson,0,1477854000,1477864800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,1,626,17.36,8,3,0,2,0,2,566,149,808,0,
Justin Anderson,498,1478008320,1478026740,151,1478008320,1478018820,340,1478018880,1478023320,6,1478023393,1478026740,0,0,0,80,116,170,41,12,171,37,16,21,86,36,6597,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,590,168,0,0,
Justin Anderson,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,687,20.01,5,8,1,1,0,2,614,193,536,0,
Justin Anderson,270,1478187060,1478198820,120,1478187060,1478192400,27,1478192460,1478195640,123,1478195700,1478198820,0,0,0,26,85,47,8,5,50,21,4,18,212,9,6934,0,0,0,0,0,0,0,0,0,0,360.7719625,0,610,203,0,0,
Justin Anderson,0,1478286000,1478296800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Por,Dal,L,10,604,18.39,6,2,0,0,1,2,592,225,570,0,
Justin Anderson,230,1478361493,1478372760,14,1478361493,1478366100,151,1478366160,1478369640,64,1478369760,1478372760,0,0,0,36,71,57,6,7,52,10,9,20,60,2,4814,0,0,0,0,0,0,0,0,0,0,339.48218636363634,0,599,234,0,0,
Justin Anderson,0,1478458800,1478469600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mil,Dal,W,11,380,10.11,4,2,0,1,0,0,556,248,797,0,
