playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nico Brussino,656,1476800760,1476815820,144,1476800760,1476806340,298,1476806400,1476811800,213,1476811860,1476815820,0,0,0,74,96,114,12,9,112,11,6,17,98,11,11035,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,93,23,0,0,
Nico Brussino,483,1476976800,1476988440,136,1476976800,1476982440,347,1476982500,1476988440,0,0,0,0,0,0,66,84,116,11,6,78,16,5,29,184,17,8412,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,176,41,0,0,
Nico Brussino,582,1477238810,1477249200,0,0,0,454,1477238810,1477245300,127,1477245360,1477249200,0,0,0,68,111,185,16,1,177,11,5,21,159,9,8336,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,271,62,0,0,
Nico Brussino,270,1477408108,1477417920,47,1477408108,1477410600,222,1477410636,1477415220,0,1477415285,1477417920,0,0,0,26,39,60,8,1,80,7,2,2,33,4,6069,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,323,73,0,0,
Nico Brussino,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,29,0.58,0,0,1,0,0,0,334,74,717,0,
Nico Brussino,612,1477582080,1477594147,162,1477582080,1477585920,103,1477585980,1477590840,346,1477590900,1477594147,0,0,0,97,122,150,30,10,136,31,7,20,69,10,11395,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,423,96,0,0,
Nico Brussino,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,39,1.44,2,0,0,1,0,0,442,98,562,0,
Nico Brussino,1180,1478008320,1478026740,695,1478008320,1478018820,393,1478018880,1478023320,91,1478023393,1478026740,0,0,0,166,276,340,51,18,272,64,33,46,360,16,16027,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,519,141,0,0,
Nico Brussino,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,47,1.85,1,0,0,0,0,0,468,144,536,0,
