playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Quincy Acy,340,1476976800,1476988440,282,1476976800,1476982440,58,1476982500,1476988440,0,0,0,0,0,0,32,139,98,8,3,108,11,2,18,146,0,8160,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,48,12,0,0,
Quincy Acy,538,1477238810,1477249200,0,0,0,407,1477238810,1477245300,130,1477245360,1477249200,0,0,0,51,134,165,13,3,146,22,7,6,182,9,8371,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,132,31,0,0,
Quincy Acy,473,1477408108,1477417920,38,1477408108,1477410600,333,1477410636,1477415220,101,1477415285,1477417920,0,0,0,57,157,164,23,2,183,29,11,17,207,19,6965,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,211,49,0,0,
Quincy Acy,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,35,0.94,0,0,0,0,0,1,228,51,717,0,
Quincy Acy,663,1477582080,1477594147,219,1477582080,1477585920,186,1477585980,1477590840,257,1477590900,1477594147,0,0,0,87,197,170,61,11,212,61,17,72,170,37,11758,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,325,75,0,0,
Quincy Acy,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,311,7.71,3,1,0,0,0,1,383,86,562,0,
Quincy Acy,600,1478008320,1478026740,164,1478008320,1478018820,276,1478018880,1478023320,159,1478023393,1478026740,0,0,0,43,171,160,23,7,191,30,9,24,245,19,7896,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,477,108,0,0,
Quincy Acy,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,51,1.85,0,1,0,0,0,0,449,111,536,0,
Quincy Acy,590,1478187060,1478198820,419,1478187060,1478192400,26,1478192460,1478195640,144,1478195700,1478198820,0,0,0,117,275,83,15,2,137,15,5,5,452,9,10766,0,0,0,0,0,0,0,0,0,0,360.7719625,0,453,132,0,0,
Quincy Acy,0,1478286000,1478296800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Por,Dal,L,10,411,11.14,2,3,0,0,0,2,444,148,570,0,
Quincy Acy,458,1478361493,1478372760,231,1478361493,1478366100,174,1478366160,1478369640,52,1478369760,1478372760,0,0,0,48,141,115,16,4,142,20,2,24,161,7,8817,0,0,0,0,0,0,0,0,0,0,339.48218636363634,0,504,164,0,0,
Quincy Acy,0,1478718000,1478728800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,GS,L,21,824,24.55,6,3,0,0,0,5,535,194,870,0,
Quincy Acy,371,1478875800,1478888280,192,1478875800,1478883600,178,1478883660,1478888280,0,0,0,0,0,0,45,83,119,21,3,157,32,5,5,34,17,7891,0,0,0,0,0,0,0,0,0,0,471.2142246153847,0,548,209,0,0,
Quincy Acy,686,1478963220,1478979060,359,1478963220,1478969460,171,1478969520,1478973780,155,1478973840,1478979060,0,0,0,69,134,137,31,9,146,29,9,41,219,23,14246,0,0,0,0,0,0,0,0,0,0,522.2070846153846,0,562,234,0,0,
Quincy Acy,0,1479150000,1479160800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,NY,L,16,67,1.94,2,0,0,0,0,0,567,237,625,0,
