playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Salah Mejri,687,1476800760,1476815820,190,1476800760,1476806340,438,1476806400,1476811800,58,1476811860,1476815820,0,0,0,70,70,196,19,8,145,15,6,3,22,16,8887,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,98,24,0,0,
Salah Mejri,389,1476976800,1476988440,155,1476976800,1476982440,234,1476982500,1476988440,0,0,0,0,0,0,36,54,76,9,1,59,3,3,0,15,7,7171,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,167,39,0,0,
Salah Mejri,528,1477238810,1477249200,0,0,0,499,1477238810,1477245300,28,1477245360,1477249200,0,0,0,32,69,183,15,4,142,14,0,8,43,13,7263,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,253,58,0,0,
Salah Mejri,368,1477408108,1477417920,40,1477408108,1477410600,299,1477410636,1477415220,28,1477415285,1477417920,0,0,0,32,57,113,15,1,111,6,3,1,69,9,7720,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,317,72,0,0,
Salah Mejri,339,1477585980,1477594147,0,0,0,87,1477585980,1477590840,251,1477590900,1477594147,0,0,0,43,47,121,18,8,116,17,5,3,20,11,5318,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,375,85,0,0,
Salah Mejri,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,44,1.44,2,0,0,0,0,0,390,87,562,0,
Salah Mejri,0,1477854000,1477864800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,1,518,16.78,6,6,0,0,2,3,466,105,808,0,
Salah Mejri,561,1478008320,1478026740,192,1478008320,1478018820,352,1478018880,1478023320,16,1478023393,1478026740,0,0,0,68,94,148,15,3,143,15,9,2,85,15,7063,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,459,126,0,0,
Salah Mejri,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,165,5.37,0,1,0,0,1,3,426,133,536,0,
