playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seth Curry,542,1476800760,1476815820,177,1476800760,1476806340,268,1476806400,1476811800,96,1476811860,1476815820,0,0,0,46,104,94,19,5,71,19,6,6,123,6,9609,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,77,19,0,0,
Seth Curry,557,1476976800,1476988440,133,1476976800,1476982440,423,1476982500,1476988440,0,0,0,0,0,0,79,166,176,24,5,143,21,9,18,174,14,8228,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,168,39,0,0,
Seth Curry,590,1477238810,1477249200,0,0,0,522,1477238810,1477245300,67,1477245360,1477249200,0,0,0,47,115,167,26,19,120,26,8,28,141,3,7774,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,265,61,0,0,
Seth Curry,350,1477408108,1477417920,26,1477408108,1477410600,303,1477410636,1477415220,21,1477415285,1477417920,0,0,0,42,103,103,15,1,68,17,5,7,84,5,5995,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,329,75,0,0,
Seth Curry,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,460,15.78,7,3,1,3,1,6,404,91,717,0,
Seth Curry,406,1477585980,1477594147,0,0,0,77,1477585980,1477590840,329,1477590900,1477594147,0,0,0,45,142,124,17,8,85,29,3,26,135,10,5550,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,472,107,0,0,
Seth Curry,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,581,20.37,8,0,1,0,0,4,565,128,562,0,
Seth Curry,0,1477854000,1477864800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,1,708,23.82,0,3,2,0,0,0,602,154,808,0,
Seth Curry,782,1478008320,1478026740,413,1478008320,1478018820,362,1478018880,1478023320,6,1478023393,1478026740,0,0,0,120,247,201,35,17,181,48,14,26,221,35,11225,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,639,183,0,0,
