playername,SESS_LOAD,SESS_START,SESS_END,PRE_LOAD,PRE_START,PRE_END,PRACT_LOAD,PRACT_START,PRACT_END,POST_LOAD,POST_START,POST_END,OTHER_LOAD,OTHER_START,OTHER_END,ACCEL_TOTAL,DECEL_TOTAL,COD_L_LO,COD_L_MED,COD_L_HI,COD_R_LO,COD_R_MED,COD_R_HI,JUMP_LO,JUMP_MED,JUMP_HI,HR_EXERT,AWAY_TEAM,HOME_TEAM,WIN_LOSS,SCORE_DIFF,GAME_LOAD,GAME_MINS,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,FOULS,ACUTE,CHRONIC,SQUAD_AVG,SQUAD_DEV
blank,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,1474981900,1474998200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wes Matthews,678,1476800760,1476815820,116,1476800760,1476806340,521,1476806400,1476811800,40,1476811860,1476815820,0,0,0,56,96,155,32,9,126,34,12,35,32,3,7449,0,0,0,0,0,0,0,0,0,0,672.7735328571428,0,96,24,0,0,
Wes Matthews,424,1476982500,1476988440,0,0,0,424,1476982500,1476988440,0,0,0,0,0,0,25,74,86,25,6,114,22,8,29,46,1,5056,0,0,0,0,0,0,0,0,0,0,409.78995642857143,0,171,40,0,0,
Wes Matthews,582,1477238810,1477249200,0,0,0,578,1477238810,1477245300,3,1477245360,1477249200,0,0,0,57,98,161,30,1,168,14,9,52,35,4,6738,0,0,0,0,0,0,0,0,0,0,578.8604316666667,0,265,61,0,0,
Wes Matthews,455,1477408108,1477417920,46,1477408108,1477410600,400,1477410636,1477415220,8,1477415285,1477417920,0,0,0,43,76,108,15,12,116,23,13,32,21,3,5778,0,0,0,0,0,0,0,0,0,0,401.1996385714286,0,343,78,0,0,
Wes Matthews,0,1477508400,1477519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Ind,L,9,1358,39.64,13,5,3,3,0,4,548,127,717,0,
Wes Matthews,83,1477585980,1477594147,0,0,0,72,1477585980,1477590840,11,1477590900,1477594147,0,0,0,15,19,25,5,4,21,3,4,4,0,0,3223,0,0,0,0,0,0,0,0,0,0,322.73315692307693,0,589,132,0,0,
Wes Matthews,0,1477681200,1477692000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hou,Dal,L,8,1050,37.4,13,4,1,1,0,3,745,170,562,0,
Wes Matthews,0,1477854000,1477864800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Hou,L,1,1251,40.95,25,5,3,2,0,6,849,216,808,0,
Wes Matthews,59,1478018880,1478023320,0,0,0,59,1478018880,1478023320,0,0,0,0,0,0,8,6,9,6,4,7,8,2,7,2,0,1677,0,0,0,0,0,0,0,0,0,0,623.6893485714287,0,812,219,0,0,
Wes Matthews,0,1478113200,1478124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dal,Uta,L,16,1032,35.69,12,1,2,0,1,2,871,256,536,0,
Wes Matthews,0,1478286000,1478296800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Por,Dal,L,10,905,28.73,7,0,1,0,0,5,944,290,570,0,
