date,ID,Day,T_T_TIME,T_TOTAL_DISTANCE,T_HIGH_INTENSITY_DISTANCE,T_SPRINT_DISTANCE,T_PLAYER_LOAD,T_HEART_RATE_EXERTION,T_ACC_DEC_LOAD,T_PEAK_SPEED,T_HRE_PL_LOAD,T_VOLUME_STATUS,T_INTENSITY_STATUS,T_VOLUME_RATIO,T_INTENSITY_RATIO,T_MONOTONY_VOLUME,T_MONOTONY_INTENSITY,Game,Result,Game_and_Result,Scorers,G_HI_IP_m,G_HI_IP_m_pc,G_HI_IP_m_min,G_HI_OP_m,G_HI_OP_m_pc,G_HI_OP_m_min,G_HID_m,G_HID_m_min,G_IP_mins,G_MINS,G_OP_mins,G_SPR_m,G_SPR_m_min,G_TD_m,G_TD_m_min,G_TD_IP_m,G_TD_IP_m_pc,G_TD_IP_m_min,G_TD_OP_m,G_TD_OP_m_pc,G_TD_OP_m_min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing,ACUTE_LOAD,CHRONIC_LOAD,SQUAD_LOAD
30/06/2014,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,2,7,13.62355111,0,0,0
01/07/2014,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.39,5,4,12.64907613,0,0,7
02/07/2014,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.59,6,3,15.95561597,0,0,13
03/07/2014,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.66,5,9,9.881688991,0,0,13
04/07/2014,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.99,3,1,12.72369132,0,0,13
05/07/2014,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.01,4,8,14.19707674,0,0,13
06/07/2014,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.97,7,2,13.46948615,0,0,13
07/07/2014,10,8,74,6639,1252,851,665,75,202,28,1.1,10,37,100,0,0.4,0.4,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8.46,5,8,11.41909791,95,23,64
08/07/2014,10,9,60,5963,576,51,624,133,195,25,2.1,18,55,100,0,0.6,0.5,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.11,6,4,14.87288987,184,46,116
09/07/2014,10,10,0,0,0,0,0,0,0,0,0,18,55,100,0,0.6,0.5,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5.03,3,7,17.02293494,184,46,118
