date,ID,Day,T_T_TIME,T_TOTAL_DISTANCE,T_HIGH_INTENSITY_DISTANCE,T_SPRINT_DISTANCE,T_PLAYER_LOAD,T_HEART_RATE_EXERTION,T_ACC_DEC_LOAD,T_PEAK_SPEED,T_HRE_PL_LOAD,T_VOLUME_STATUS,T_INTENSITY_STATUS,T_VOLUME_RATIO,T_INTENSITY_RATIO,T_MONOTONY_VOLUME,T_MONOTONY_INTENSITY,Game,Result,Game_and_Result,Scorers,G_HI_IP_m,G_HI_IP_m_pc,G_HI_IP_m_min,G_HI_OP_m,G_HI_OP_m_pc,G_HI_OP_m_min,G_HID_m,G_HID_m_min,G_IP_mins,G_MINS,G_OP_mins,G_SPR_m,G_SPR_m_min,G_TD_m,G_TD_m_min,G_TD_IP_m,G_TD_IP_m_pc,G_TD_IP_m_min,G_TD_OP_m,G_TD_OP_m_pc,G_TD_OP_m_min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing,ACUTE_LOAD,CHRONIC_LOAD,SQUAD_LOAD,SQUAD_STAN_DEV
30/06/2014,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,410.4,8.6,14.2,319.5,6.1,10,764.8,8,29,96,32,288.1,3,11662.3,121.5,4375.2,91.2,150.9,4771.3,91.8,149.1,0,0,0,6.85,5,4,13.99382195,0,0,0,0
01/07/2014,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,410.4,8.6,14.2,319.5,6.1,10,764.8,8,29,96,32,288.1,3,11662.3,121.5,4375.2,91.2,150.9,4771.3,91.8,149.1,0,0,1,5.23,1,2,13.38607071,0,0,7,28
02/07/2014,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,410.4,8.6,14.2,319.5,6.1,10,764.8,8,29,96,32,288.1,3,11662.3,121.5,4375.2,91.2,150.9,4771.3,91.8,149.1,0,0,2,6.04,8,4,10.64863513,0,0,13,47
03/07/2014,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,410.4,8.6,14.2,319.5,6.1,10,764.8,8,29,96,32,288.1,3,11662.3,121.5,4375.2,91.2,150.9,4771.3,91.8,149.1,0,0,3,6.11,9,9,10.17817021,0,0,13,47
04/07/2014,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,410.4,8.6,14.2,319.5,6.1,10,764.8,8,29,96,32,288.1,3,11662.3,121.5,4375.2,91.2,150.9,4771.3,91.8,149.1,0,0,4,4.98,5,7,14.58948292,0,0,13,47
05/07/2014,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,410.4,8.6,14.2,319.5,6.1,10,764.8,8,29,96,32,288.1,3,11662.3,121.5,4375.2,91.2,150.9,4771.3,91.8,149.1,0,0,5,4.94,8,6,10.24342345,0,0,13,47
06/07/2014,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,410.4,8.6,14.2,319.5,6.1,10,764.8,8,29,96,32,288.1,3,11662.3,121.5,4375.2,91.2,150.9,4771.3,91.8,149.1,0,0,6,6.15,4,7,11.54310095,0,0,13,47
07/07/2014,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,410.4,8.6,14.2,319.5,6.1,10,764.8,8,29,96,32,288.1,3,11662.3,121.5,4375.2,91.2,150.9,4771.3,91.8,149.1,0,0,7,6.75,3,3,14.69871497,0,0,64,77
08/07/2014,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,410.4,8.6,14.2,319.5,6.1,10,764.8,8,29,96,32,288.1,3,11662.3,121.5,4375.2,91.2,150.9,4771.3,91.8,149.1,0,0,8,5.51,8,3,12.83210449,0,0,116,107
09/07/2014,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,410.4,8.6,14.2,319.5,6.1,10,764.8,8,29,96,32,288.1,3,11662.3,121.5,4375.2,91.2,150.9,4771.3,91.8,149.1,0,0,9,6.35,5,9,13.53815415,0,0,118,108
