date,ID,Day,T_T_TIME,T_TOTAL_DISTANCE,T_HIGH_INTENSITY_DISTANCE,T_SPRINT_DISTANCE,T_PLAYER_LOAD,T_HEART_RATE_EXERTION,T_ACC_DEC_LOAD,T_PEAK_SPEED,T_HRE_PL_LOAD,T_VOLUME_STATUS,T_INTENSITY_STATUS,T_VOLUME_RATIO,T_INTENSITY_RATIO,T_MONOTONY_VOLUME,T_MONOTONY_INTENSITY,Game,Result,Game_and_Result,Scorers,G_HI_IP_m,G_HI_IP_m_pc,G_HI_IP_m_min,G_HI_OP_m,G_HI_OP_m_pc,G_HI_OP_m_min,G_HID_m,G_HID_m_min,G_IP_mins,G_MINS,G_OP_mins,G_SPR_m,G_SPR_m_min,G_TD_m,G_TD_m_min,G_TD_IP_m,G_TD_IP_m_pc,G_TD_IP_m_min,G_TD_OP_m,G_TD_OP_m_pc,G_TD_OP_m_min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing,ACUTE_LOAD,CHRONIC_LOAD,SQUAD_LOAD,SQUAD_STAN_DEV
30/06/2014,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,0,6.04,2,5,15.77291893,0,0,0,0
01/07/2014,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,1,7.71,5,3,15.2527607,0,0,7,28
02/07/2014,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,2,6.31,4,3,13.14278625,0,0,13,47
03/07/2014,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,3,6.73,3,2,15.95806045,0,0,13,47
04/07/2014,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,4,6.68,6,7,14.85806846,0,0,13,47
05/07/2014,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,5,5.48,1,9,14.33130165,0,0,13,47
06/07/2014,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,6,6.47,9,8,11.883408,0,0,13,47
07/07/2014,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,7,6.87,4,5,13.22702325,0,0,64,77
08/07/2014,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,8,5,1,6,13.85907973,0,0,116,107
09/07/2014,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,9,6.55,6,3,13.32510334,0,0,118,108
10/07/2014,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,10,4.7,7,4,10.82599253,0,0,188,171
11/07/2014,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,11,7.81,5,3,10.88401458,0,0,252,232
12/07/2014,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,12,7.02,8,5,10.83435928,0,0,252,232
13/07/2014,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,13,7.8,1,4,17.90523306,0,0,306,281
14/07/2014,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,14,4.96,1,6,15.05307892,0,0,302,281
15/07/2014,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,15,5.47,3,5,12.09364693,0,0,293,281
16/07/2014,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,16,5.68,8,7,12.68854688,0,0,286,283
17/07/2014,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,17,4.95,2,8,15.98154733,0,0,266,268
18/07/2014,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,18,6.13,5,4,14.49589123,0,0,232,243
19/07/2014,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,19,7.52,4,2,11.29335377,0,0,232,243
20/07/2014,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,20,6.26,8,9,13.94522747,0,0,178,191
21/07/2014,17,22,90,6500,250,100,650,140,300,28,2.2,9,7,100,1,0.4,0.4,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,56.6,1.2,18.9,56.4,1.1,14.1,124.8,0,3,11,4,61,0,1405.8,0,534.7,11.1,178.2,553.8,10.7,138.5,0,0,21,5.16,3,4,14.73152476,92,23,181,177
